Trait,Count,Percent
0,1826,20.545
1,174,1.958
2,377,4.242
3,61,0.686
4,128,1.44
5,316,3.555
6,310,3.488
7,288,3.24
8,34,0.383
9,115,1.294
10,164,1.845
11,144,1.62
12,187,2.104
13,276,3.105
15,60,0.675
16,98,1.103
17,24,0.27
18,46,0.518
19,66,0.743
20,71,0.799
21,112,1.26
22,88,0.99
23,350,3.938
25,255,2.869
27,43,0.484
28,139,1.564
29,319,3.589
31,82,0.923
32,50,0.563
33,299,3.364
34,46,0.518
35,101,1.136
36,99,1.114
37,105,1.181
39,38,0.428
40,37,0.416
41,112,1.26
42,236,2.655
43,220,2.475
44,83,0.934
45,109,1.226
46,129,1.451
47,257,2.892
48,112,1.26
49,92,1.035
50,97,1.091
51,112,1.26
52,100,1.125
53,18,0.203
54,5,0.056
55,114,1.283
57,33,0.371
58,130,1.463
